pbar	Ht	Hs	WrightsFst	WCFst	WCFstSimple	avgp
0.2	0.269683	0.219767	0.185094	0.0933944	0.15599	0.16065
0.2	0.325419	0.254883	0.216755	0.109352	0.220425	0.20455
0.2	0.303624	0.236692	0.220441	0.11121	0.20916	0.18665
0.2	0.295967	0.22648	0.23478	0.118435	0.217148	0.1806
0.2	0.293147	0.238619	0.186009	0.0938556	0.1704	0.1784
0.2	0.289464	0.248332	0.142097	0.0717145	0.128537	0.17555
0.2	0.296797	0.237365	0.200243	0.10103	0.185723	0.18125
0.2	0.28588	0.232603	0.186362	0.0940339	0.166492	0.1728
0.2	0.305686	0.230707	0.245282	0.123726	0.23431	0.1883
0.2	0.321497	0.244066	0.240843	0.12149	0.24197	0.20125
0.2	0.307924	0.241726	0.214982	0.108459	0.206869	0.1901
0.2	0.296924	0.23068	0.2231	0.11255	0.207012	0.18135
0.2	0.264633	0.21922	0.171611	0.086597	0.141918	0.15695
0.2	0.316261	0.259313	0.180066	0.0908597	0.177962	0.1969
0.2	0.332032	0.253428	0.236736	0.119421	0.245637	0.2102
0.2	0.338006	0.273452	0.190984	0.0963636	0.20173	0.2154
0.2	0.355063	0.290112	0.182927	0.0923023	0.202971	0.2308
0.2	0.308791	0.25991	0.158297	0.0798842	0.152752	0.1908
0.2	0.330929	0.265639	0.197291	0.0995429	0.204029	0.20925
0.2	0.346265	0.272128	0.214106	0.108018	0.231679	0.22275
0.2	0.321019	0.24889	0.224685	0.113349	0.2254	0.20085
0.2	0.321138	0.265874	0.172087	0.0868371	0.172699	0.20095
0.2	0.335778	0.260484	0.224236	0.113123	0.235293	0.21345
0.2	0.31462	0.237872	0.243941	0.123051	0.23984	0.19555
0.2	0.31946	0.24966	0.218491	0.110227	0.218122	0.19955
0.2	0.310949	0.253775	0.183871	0.092778	0.17867	0.19255
0.2	0.309902	0.240886	0.222703	0.11235	0.215676	0.1917
0.2	0.297688	0.251588	0.154863	0.0781525	0.144065	0.18195
0.2	0.326481	0.262626	0.195586	0.0986834	0.199547	0.20545
0.2	0.314742	0.250528	0.20402	0.102934	0.200668	0.19565
0.2	0.304812	0.252267	0.172386	0.086988	0.164205	0.1876
0.2	0.293918	0.231187	0.21343	0.107677	0.196034	0.179
0.2	0.329238	0.272767	0.171521	0.0865518	0.176473	0.2078
0.2	0.308172	0.229405	0.255594	0.128921	0.246146	0.1903
0.2	0.31976	0.256999	0.196275	0.0990307	0.196128	0.1998
0.2	0.329297	0.244521	0.257446	0.129855	0.264926	0.20785
0.2	0.32018	0.251307	0.215105	0.108521	0.215226	0.20015
0.2	0.351705	0.260149	0.260321	0.131303	0.286114	0.2277
0.2	0.266277	0.220194	0.173063	0.0873291	0.144008	0.15815
0.2	0.330114	0.25613	0.224118	0.113063	0.231201	0.20855
0.2	0.287513	0.225225	0.216646	0.109298	0.194652	0.17405
0.2	0.327774	0.255435	0.220697	0.111339	0.226058	0.20655
0.25	0.388183	0.293069	0.245022	0.123595	0.253635	0.26355
0.25	0.344764	0.279889	0.188172	0.0949463	0.173	0.2214
0.25	0.363862	0.301829	0.170486	0.0860299	0.165422	0.2391
0.25	0.396806	0.31405	0.208556	0.105221	0.220683	0.27285
0.25	0.322034	0.2628	0.183938	0.0928116	0.157958	0.2017
0.25	0.405344	0.306738	0.243266	0.122711	0.262951	0.28245
0.25	0.369746	0.292183	0.209774	0.105834	0.206834	0.2448
0.25	0.358913	0.277817	0.22595	0.113986	0.216257	0.2344
0.25	0.342471	0.26534	0.225221	0.113619	0.205684	0.21935
0.25	0.369491	0.284437	0.23019	0.116123	0.226808	0.24455
0.25	0.355493	0.285634	0.196513	0.0991507	0.186291	0.2312
0.25	0.37995	0.293441	0.227685	0.11486	0.230691	0.255
0.25	0.362397	0.291655	0.195207	0.0984922	0.188646	0.2377
0.25	0.387946	0.307203	0.20813	0.105006	0.215315	0.2633
0.25	0.357849	0.286718	0.198774	0.10029	0.189682	0.2334
0.25	0.339199	0.281401	0.170394	0.0859834	0.154126	0.21645
0.25	0.387852	0.305338	0.212745	0.107332	0.220036	0.2632
