pbar	Ht	Hs	WrightsFst	WCFst	WCFstSimple	avgp
0.1	0.123288	0.110434	0.10426	0.0531373	0.0714111	0.066
0.1	0.194082	0.145273	0.251485	0.12798	0.271159	0.1089
0.1	0.114734	0.095779	0.165205	0.0841465	0.105303	0.0611
0.1	0.17486	0.14269	0.183974	0.0936882	0.17872	0.0968
0.1	0.162815	0.131142	0.194535	0.0990559	0.175963	0.0894
0.1	0.134658	0.107276	0.203348	0.103534	0.152125	0.0726
0.1	0.076984	0.053447	0.305739	0.155504	0.130761	0.0401
0.1	0.13209	0.095463	0.277286	0.141073	0.203481	0.0711
0.1	0.239358	0.174486	0.271025	0.137897	0.3604	0.139
0.1	0.164783	0.12502	0.241307	0.122813	0.220907	0.0906
0.1	0.118237	0.097091	0.178843	0.09108	0.117477	0.0631
0.1	0.18032	0.131596	0.270208	0.137482	0.270688	0.1002
0.1	0.119634	0.095753	0.199614	0.101637	0.13267	0.0639
0.1	0.0828502	0.073321	0.115017	0.0586136	0.0529401	0.0433
0.1	0.143156	0.11423	0.202062	0.102881	0.160703	0.0776
0.1	0.14636	0.116557	0.203625	0.103675	0.165569	0.0795
0.1	0.143156	0.111804	0.219008	0.11149	0.17418	0.0776
0.1	0.166746	0.131832	0.209382	0.1066	0.193964	0.0918
0.1	0.195332	0.157021	0.196132	0.0998675	0.212838	0.1097
0.1	0.124502	0.099169	0.203476	0.103599	0.14074	0.0667
0.1	0.149548	0.128768	0.138953	0.0707938	0.115445	0.0814
0.1	0.154886	0.125054	0.192605	0.0980749	0.165732	0.0846
0.1	0.175504	0.14373	0.181046	0.0922	0.176524	0.0972
0.1	0.125714	0.094774	0.246117	0.125255	0.171892	0.0674
0.1	0.117188	0.088591	0.244023	0.124193	0.158869	0.0625
0.1	0.173245	0.132066	0.237691	0.120978	0.228771	0.0958
0.1	0.166746	0.139224	0.165051	0.0840681	0.152897	0.0918
0.1	0.119982	0.104383	0.130014	0.0662457	0.0866632	0.0641
0.1	0.133461	0.103745	0.222656	0.113342	0.165088	0.0719
0.1	0.170977	0.110468	0.353902	0.179913	0.336163	0.0944
0.1	0.182874	0.140834	0.229883	0.117013	0.233553	0.1018
0.1	0.177114	0.14297	0.192778	0.0981628	0.189686	0.0982
0.1	0.125541	0.096901	0.228135	0.116125	0.159113	0.0673
0.1	0.199532	0.129842	0.349269	0.177566	0.387169	0.1124
0.1	0.170815	0.136475	0.201036	0.10236	0.190778	0.0943
0.1	0.171626	0.128254	0.252712	0.128603	0.240955	0.0948
0.1	0.127961	0.110285	0.138133	0.070377	0.0981979	0.0687
0.1	0.150886	0.115386	0.235279	0.119753	0.197224	0.0822
0.1	0.206469	0.147285	0.286648	0.145822	0.328799	0.1169
0.1	0.189528	0.128186	0.323657	0.164587	0.340789	0.106
0.1	0.19798	0.155492	0.214608	0.109255	0.236045	0.1114
0.1	0.12068	0.093307	0.22682	0.115457	0.152069	0.0645
0.1	0.184464	0.140832	0.236535	0.120391	0.242402	0.1028
0.1	0.152556	0.121316	0.204775	0.104259	0.173553	0.0832
0.1	0.150385	0.115173	0.234145	0.119177	0.195621	0.0819
0.1	0.14871	0.125969	0.152924	0.0779009	0.126341	0.0809
0.1	0.16805	0.124368	0.259937	0.13227	0.24268	0.0926
0.1	0.098592	0.086008	0.127637	0.0650363	0.0699111	0.052
0.1	0.165765	0.118164	0.28716	0.146082	0.264451	0.0912
0.1	0.129512	0.101538	0.215993	0.109958	0.155409	0.0696
0.1	0.13858	0.106455	0.231815	0.117994	0.178472	0.0749
0.1	0.164292	0.132943	0.190812	0.0971638	0.17416	0.0903
0.1	0.149213	0.115038	0.229036	0.116582	0.189862	0.0812
0.1	0.133632	0.10017	0.250404	0.127432	0.1859	0.072
0.1	0.159852	0.123056	0.23019	0.117169	0.204425	0.0876
0.1	0.154553	0.122332	0.20848	0.106142	0.179007	0.0844
0.1	0.126752	0.09942	0.215634	0.109776	0.151844	0.068
0.1	0.120331	0.099609	0.172208	0.0877073	0.115122	0.0643
0.1	0.112096	0.09812	0.124676	0.0635296	0.0776427	0.0596
0.1	0.178398	0.134232	0.24757	0.125993	0.245367	0.099
0.1	0.106615	0.086747	0.186357	0.0948994	0.110381	0.0565
0.1	0.234717	0.147598	0.371165	0.188656	0.483993	0.1358
0.1	0.10074	0.085318	0.153083	0.0779818	0.0856751	0.0532
0.1	0.127616	0.108077	0.153104	0.0779927	0.108547	0.0685
0.1	0.157374	0.119725	0.239231	0.121759	0.209159	0.0861
0.1	0.13106	0.109415	0.16515	0.0841185	0.120247	0.0705
0.1	0.200772	0.12894	0.357777	0.181876	0.399064	0.1132
0.1	0.152889	0.118826	0.222795	0.113413	0.189238	0.0834
0.1	0.13209	0.091745	0.305433	0.155349	0.224137	0.0711
0.1	0.166582	0.129369	0.223393	0.113717	0.20674	0.0917
0.1	0.129856	0.109034	0.160346	0.0816757	0.115677	0.0698
0.1	0.17968	0.13621	0.24193	0.12313	0.2415	0.0998
0.1	0.130888	0.097142	0.257822	0.131197	0.187476	0.0704
0.1	0.1128	0.090846	0.194628	0.099103	0.121967	0.06
0.1	0.159192	0.124656	0.216947	0.110443	0.191868	0.0872
0.1	0.136878	0.094831	0.307184	0.156237	0.233592	0.0739
0.1	0.114558	0.100624	0.121633	0.0619806	0.0774111	0.061
0.1	0.145686	0.117535	0.193233	0.0983941	0.156397	0.0791
0.1	0.0826675	0.074034	0.104437	0.0532273	0.047964	0.0432
0.1	0.131575	0.115508	0.122111	0.062224	0.0892596	0.0708
0.1	0.0922955	0.077455	0.160793	0.081903	0.0824472	0.0485
0.1	0.171626	0.12642	0.263398	0.134026	0.251144	0.0948
0.1	0.141973	0.108917	0.232832	0.11851	0.183643	0.0769
0.1	0.111391	0.09769	0.122997	0.0626749	0.0761151	0.0592
0.1	0.150218	0.109242	0.272775	0.138784	0.227642	0.0818
0.1	0.113855	0.090874	0.201846	0.102771	0.127674	0.0606
0.1	0.145855	0.111674	0.234348	0.11928	0.189893	0.0792
0.1	0.126406	0.109416	0.13441	0.0684828	0.0943907	0.0678
0.1	0.118586	0.089357	0.246481	0.12544	0.162385	0.0633
0.1	0.169028	0.13192	0.219535	0.111757	0.206153	0.0932
0.1	0.159192	0.110138	0.308145	0.156724	0.272524	0.0872
0.1	0.197202	0.143873	0.27043	0.137595	0.296274	0.1109
0.1	0.166419	0.118358	0.288795	0.146911	0.267005	0.0916
0.1	0.170166	0.135635	0.202923	0.103318	0.191837	0.0939
0.1	0.170815	0.134309	0.213717	0.108802	0.202811	0.0943
0.1	0.142142	0.10776	0.241885	0.123107	0.191011	0.077
0.1	0.144844	0.119608	0.174229	0.0887347	0.1402	0.0786
0.1	0.132604	0.110928	0.163465	0.0832615	0.120423	0.0714
0.1	0.145518	0.121856	0.162605	0.0828245	0.131456	0.079
0.1	0.170166	0.137603	0.191358	0.0974415	0.180903	0.0939
0.1	0.107679	0.095857	0.109791	0.055953	0.0656788	0.0571
0.1	0.11526	0.091428	0.206768	0.105272	0.1324	0.0614
0.1	0.142988	0.111717	0.218694	0.11133	0.173725	0.0775
0.1	0.129512	0.110228	0.148895	0.0758517	0.107132	0.0696
0.1	0.160842	0.127634	0.206461	0.105116	0.184486	0.0882
0.1	0.1396	0.106973	0.233715	0.118959	0.181258	0.0755
0.1	0.108918	0.096444	0.114529	0.058365	0.0693018	0.0578
0.1	0.124329	0.096448	0.224251	0.114153	0.154894	0.0666
