pbar	Ht	Hs	WrightsFst	WCFst	WCFstSimple	avgp
0.1	0.18	0.0737955	0.590025	0.0579224	0.0537163	0.0436364
0.1	0.18	0.117337	0.348128	0.132508	0.235049	0.0874747
0.1	0.18	0.0939363	0.478131	0.0796378	0.0988681	0.0593939
0.1	0.18	0.113609	0.36884	0.140426	0.24649	0.0864646
0.1	0.18	0.114536	0.363687	0.0743117	0.11108	0.0725253
0.1	0.18	0.10573	0.412611	0.12973	0.2058	0.0773737
0.1	0.18	0.111991	0.377827	0.140597	0.243391	0.0851515
0.1	0.18	0.148222	0.176547	0.114338	0.24413	0.107677
0.1	0.18	0.113725	0.368194	0.0740429	0.109825	0.0719192
0.1	0.18	0.103613	0.42437	0.0866025	0.120589	0.0671717
0.1	0.18	0.112216	0.376577	0.0882154	0.133554	0.0735354
0.1	0.18	0.115938	0.355899	0.120147	0.203729	0.0832323
0.1	0.18	0.122753	0.318037	0.140487	0.26649	0.0942424
0.1	0.18	0.126931	0.294825	0.133865	0.257822	0.0958586
0.1	0.18	0.103006	0.427745	0.0802245	0.109365	0.0656566
0.1	0.18	0.117894	0.345033	0.0800878	0.124919	0.0759596
0.1	0.18	0.0936257	0.479858	0.128524	0.179961	0.0675758
0.1	0.18	0.11726	0.348553	0.0843727	0.132244	0.0763636
0.1	0.18	0.0900245	0.499864	0.100955	0.126531	0.06
0.1	0.18	0.11496	0.361332	0.0721868	0.107765	0.0724242
0.1	0.18	0.133032	0.260934	0.115543	0.222116	0.0956566
0.1	0.18	0.131335	0.270364	0.109722	0.205129	0.0927273
0.1	0.18	0.126136	0.299247	0.138204	0.267682	0.0964646
0.1	0.18	0.102629	0.429837	0.0817588	0.111457	0.0656566
0.1	0.18	0.0855112	0.524938	0.107954	0.130814	0.0578788
0.1	0.18	0.0915901	0.491166	0.115158	0.152262	0.0635354
0.1	0.18	0.130802	0.273322	0.103531	0.189759	0.0907071
0.1	0.18	0.104417	0.419906	0.114886	0.173052	0.0731313
0.1	0.18	0.133682	0.257321	0.0821883	0.146093	0.0876768
0.1	0.18	0.0843786	0.53123	0.111875	0.13512	0.0576768
0.1	0.18	0.103822	0.423214	0.112642	0.167727	0.0722222
0.1	0.18	0.136414	0.242144	0.103521	0.197876	0.0950505
0.1	0.18	0.0851301	0.527055	0.0844079	0.0960564	0.0541414
0.1	0.18	0.0839118	0.533823	0.0799965	0.0887909	0.0527273
0.1	0.18	0.134317	0.253792	0.0899957	0.163792	0.09
0.1	0.18	0.133646	0.257525	0.102855	0.192291	0.0927273
0.1	0.18	0.123326	0.314857	0.142919	0.274224	0.0954545
